,ssh,t,u,v,ssh_obj
1993-01-16 12:00:00,0.47337013066404876,0.9495394032491646,-0.8379346560451947,-1.6433415154605908,0.07265976819516522
1993-02-15 00:00:00,0.29442410161812765,0.7555951737672226,0.4545277904444001,0.800128169348854,0.05646190431921145
1993-03-16 12:00:00,0.7593834029281793,0.7117708298806136,0.6885589788874982,-0.038352212997663726,-0.27831944921116253
1993-04-16 00:00:00,0.7334678151470467,0.2760103508206501,-0.01509931933245068,0.7064155996002814,-0.08108373547375805
1993-05-16 12:00:00,-0.30158010540558455,0.170100413718924,-0.24962885019853454,0.20977700299793003,0.5348878451849539
1993-06-16 00:00:00,-0.49106295485585616,0.02011756639193286,-1.49077842188746,0.5538579138557914,0.2728238983652394
1993-07-16 12:00:00,0.09954291345065934,0.4814937169797137,-0.34024698095371353,0.5662674945975279,-0.8113436846358849
1993-08-16 12:00:00,-0.5859112659343606,0.8839674821610726,-0.5574160111985552,0.11433349304168104,-0.5271734621699933
1993-09-16 00:00:00,-0.5548555454303536,0.39857645943946357,-0.904510800617176,-1.6520933376422935,-0.28746343996135615
1993-10-16 12:00:00,-0.4742265795493257,0.5955541191598124,-0.24186644986625352,-0.6740780221231153,-0.3411499949294169
1993-11-16 00:00:00,0.036414990986306815,0.8018553996554543,-0.5867910108426152,0.5521802160552233,-0.273903662034238
1993-12-16 12:00:00,-0.2610905975003776,0.4811853991992856,-0.33080614168387346,-0.09717841593999646,-0.5879562808478425
1994-01-16 12:00:00,0.25621673090054825,0.5627408194683139,0.8996431528727548,0.08966139583934643,-0.9691084195290708
1994-02-15 00:00:00,-0.052233644050398535,0.2885742387112484,0.6773519019670263,-0.22359168606145316,-1.3642576539772504
1994-03-16 12:00:00,-0.2887261118246103,0.4966894330365141,0.6708545709682934,-1.0581884458252362,-1.646388039603778
1994-04-16 00:00:00,0.07149460584717704,0.9323837089916082,1.035352600913077,-0.9645224998893733,-1.58824040020009
1994-05-16 12:00:00,0.19281470461063904,0.8510883595286949,1.0190206146440848,-0.4130451389855015,-1.35750239283919
1994-06-16 00:00:00,0.41462601614692773,0.8641964429175186,0.5874463121691166,-1.4057270760747886,-0.47370565975817264
1994-07-16 12:00:00,-0.01417060846550656,0.6828391132207479,0.29154108953442126,0.16967122920699693,-1.1942832444870402
1994-08-16 12:00:00,-0.4766612710323255,0.814324002209695,-1.2671676546516384,-0.5353435135562421,-1.277153364211596
1994-09-16 00:00:00,-0.35148160063168465,0.9552737420953106,-0.44239338986151777,-1.9027949454361366,-0.7359064063010708
1994-10-16 12:00:00,-0.19448362542463837,0.8147202197327801,-0.324875508388253,-1.7583439185878176,-0.23554859706990372
1994-11-16 00:00:00,-0.19567478328889784,1.1130589996495064,-0.31556833759212954,-2.485022405935155,0.6352797181823179
1994-12-16 12:00:00,0.21705529260782075,0.9425740116272419,-1.1207716370525276,-1.7863468676143983,0.08794852824199
1995-01-16 12:00:00,0.8716195419861392,0.6187448957272885,-0.5766615126645265,-0.18857520012611015,-0.6091972526330875
1995-02-15 00:00:00,0.41685084764260355,0.7483248573721688,-0.2571948555253777,-2.3452951587168935,-0.6391450259306353
1995-03-16 12:00:00,0.5869972632418295,1.2495262097860178,0.17745495725772562,0.9380948587547181,-1.2204676057176607
1995-04-16 00:00:00,0.014185883776985991,1.254379989334126,0.08642480480301083,0.06687303652433359,-1.1622297310261076
1995-05-16 12:00:00,0.28612083755340134,1.1206129301955983,0.5691927134501348,-0.05711646399939789,-1.7590051771394195
1995-06-16 00:00:00,-0.5160873153109167,1.20089979423429,0.6313982527874841,-1.841072698017167,-0.8257148074416953
1995-07-16 12:00:00,-0.48429266582434966,0.5616855152283053,-0.3890930592826953,-0.31175729574413863,-1.0234886051168066
1995-08-16 12:00:00,-1.1965673728175834,0.30324685935568013,-0.7265836532998445,-0.17272898367232037,-1.6139473127864126
1995-09-16 00:00:00,-1.1041615711513941,0.04307596045746388,-1.379442914113279,0.5207171187153838,-0.8239107067376923
1995-10-16 12:00:00,-1.3146727451608775,-0.15935063569512645,-0.9138504108526875,-0.20669328664038114,-0.9411017962189904
1995-11-16 00:00:00,-0.9128902107922825,-0.5869032928266751,-0.6824892803128397,0.3051692877315461,-0.8529322154802508
1995-12-16 12:00:00,-0.3889374296926986,-0.8763118782609964,-1.1473923042833518,0.14601302679946207,-1.1280321367835604
1996-01-16 12:00:00,-1.2571327294741586,-1.0262037437732172,-1.045568821227274,-1.4185897252453075,-0.3930480708263599
1996-02-15 12:00:00,0.11369613024441226,-0.4875451301501735,0.31065726752121153,-0.4143283959617578,0.7063956311302245
1996-03-16 12:00:00,-0.5667589556938037,-0.07491365283583173,0.3498347023520794,0.3271214179681106,-0.32477560255042304
1996-04-16 00:00:00,-0.6159319813055165,-0.03344133938459378,0.899640584273535,-0.45201461478482996,-0.4595999719357759
1996-05-16 12:00:00,0.05464619896366972,-0.05320824689736186,0.16245250847106513,0.16897214596097798,-1.040375972826453
1996-06-16 00:00:00,0.07473415644208269,-0.14959607254997948,0.7153742256176472,-0.8597819336862268,-0.6222964286448961
1996-07-16 12:00:00,0.08165418358045391,-0.1450558878504842,0.5564256858737687,2.2770005109191804,-0.7502171821244329
1996-08-16 12:00:00,-0.43790764284281175,-0.5188138593546264,1.2736389603716614,-0.48840497906201336,-0.9582028036407434
1996-09-16 00:00:00,-0.7605661013529186,-0.06811586311769081,1.1362897192060761,0.07027567922996218,-0.9401269120989707
1996-10-16 12:00:00,-0.34706674985576835,-0.20239382164916725,0.208262986094712,1.4409384310857019,-1.1427325354068911
